"","x"
"312","Flaveria anomala"
"313","Flaveria oppositifolia"
"314","Flaveria trinervia"
"315","Fleischmannia pycnocephala"
"316","Fleischmannia sonorae"
"317","Florestina pedata"
"318","Flourensia cernua"
"319","Gaillardia comosa"
"320","Galeana pratensis"
"321","Galinsoga parviflora"
"322","Gamochaeta americana"
"323","Gamochaeta sphacelata"
"324","Gonzalezia rosei"
"325","Grindelia macvaughii"
"326","Grindelia subdecurrens"
"327","Grindelia tricuspis"
"328","Guardiola mexicana"
"329","Gutierrezia conoidea"
"330","Gutierrezia sericocarpa"
"331","Gymnosperma glutinosum"
"332","Helenium mexicanum"
"333","Helianthus annuus"
"334","Helianthus laciniatus"
"335","Heliopsis annua"
"336","Heterosperma pinnatum"
"337","Heterotheca inuloides"
"338","Heterotheca leptoglossa"
"339","Heterotheca subaxillaris"
"340","Hieracium abscissum"
"341","Hieracium crepidispermum"
"342","Hieracium pringlei"
"343","Hybridella globosa"
"344","Hydropectis stevensii"
"345","Iostephane heterophylla"
"346","Iostephane madrensis"
"347","Isocoma gypsophila"
"348","Isocoma hartwegii"
"349","Isocoma veneta"
"350","Jaegeria glabra"
"351","Jaegeria hirta"
"352","Jefea brevifolia"
"353","Koanophyllon palmeri"
"354","Koanophyllon solidaginifolium"
"355","Laennecia confusa"
"356","Laennecia filaginoides"
"357","Laennecia gnaphalioides"
"358","Laennecia microglossa"
"359","Laennecia sophiifolia"
"360","Lagascea helianthifolia"
"361","Lasianthaea aurea"
"362","Lasianthaea ceanothifolia"
"363","Lasianthaea crocea"
"364","Lasianthaea palmeri"
"365","Leibnitzia lyrata"
"366","Leucactinia bracteata"
"367","Liabellum palmeri"
"368","Machaeranthera tanacetifolia"
"369","Melampodium microcephalum"
"370","Melampodium perfoliatum"
"371","Melampodium sericeum"
"372","Melampodium strigosum"
"373","Milleria quinqueflora"
"374","Montanoa leucantha"
"375","Packera bellidifolia"
"376","Packera toluccana"
"377","Parthenium argentatum"
"378","Parthenium bipinnatifidum"
"379","Parthenium hysterophorus"
"380","Parthenium incanum"
"381","Pectis angustifolia"
"382","Pectis prostrata"
"383","Pectis uniaristata"
"384","Perityle microglossa"
"385","Perityle rosei"
"386","Perymenium buphthalmoides"
"387","Perymenium mendezii"
"388","Perymenium subsquarrosum"
"389","Pinaropappus roseus"
"390","Pippenalia delphinifolia"
"391","Piqueria laxiflora"
"392","Piqueria triflora"
"393","Piqueria trinervia"
"394","Pittocaulon filare"
"395","Pittocaulon praecox"
"396","Pluchea salicifolia"
"397","Porophyllum coloratum"
"398","Porophyllum linaria"
"399","Porophyllum macrocephalum"
"400","Porophyllum viridiflorum"
"401","Psacalium amplum"
"402","Psacalium megaphyllum"
"403","Psacalium palmeri"
"404","Psacalium peltatum"
"405","Psacalium platylepis"
"406","Psacalium poculiferum"
"407","Psacalium pringlei"
"408","Psacalium radulifolium"
