binomial	stateabr
Schiedeella crenulata	MOR
Schiedeella garayana	MOR
Schiedeella llaveana	MOR
Spiranthes graminea	MOR
Stanhopea hernandezii	MOR
Stelis emarginata	MOR
Stelis nigriflora	MOR
Stelis oestlundiana	MOR
Stelis retusa	MOR
Stelis villosa	MOR
Stelis xerophila	MOR
Svenkoeltzia congestiflora	MOR
Tamayorkis ehrenbergii	MOR
Trichocentrum brachyphyllum	MOR
Trichocentrum cebolleta	MOR
Trichocentrum oestlundianum	MOR
Trichocentrum pachyphyllum	MOR
Triphora trianthophora	MOR
Agalinis peduncularis	MOR
Buchnera pusilla	MOR
Castilleja angustifolia	MOR
Castilleja arvensis	MOR
Castilleja aurea	MOR
Castilleja gracilis	MOR
Castilleja lithospermoides	MOR
Castilleja moranensis	MOR
Castilleja scorzonerifolia	MOR
Castilleja tenuiflora	MOR
Castilleja tenuifolia	MOR
Conopholis alpina	MOR
Escobedia grandiflora	MOR
Escobedia longiflora	MOR
Lamourouxia gracilis	MOR
Lamourouxia longiflora	MOR
Lamourouxia multifida	MOR
Lamourouxia nelsonii	MOR
Lamourouxia rhinanthifolia	MOR
Lamourouxia viscosa	MOR
Melasma physalodes	MOR
Pedicularis mexicana	MOR
Oxalis alpina	MOR
Oxalis bipartita	MOR
Oxalis corniculata	MOR
Oxalis decaphylla	MOR
Oxalis discolor	MOR
Oxalis gregaria	MOR
Oxalis hernandezii	MOR
Oxalis jacquiniana	MOR
Oxalis latifolia	MOR
Oxalis lunulata	MOR
Oxalis tetraphylla	MOR
Argemone mexicana	MOR
Argemone ochroleuca	MOR
Argemone platyceras	MOR
Bocconia arborea	MOR
Bocconia frutescens	MOR
Passiflora biflora	MOR
Passiflora bryonoides	MOR
Passiflora coriacea	MOR
Passiflora exsudans	MOR
Passiflora foetida	MOR
Passiflora mexicana	MOR
Passiflora pavonis	MOR
Passiflora sexflora	MOR
Passiflora suberosa	MOR
Passiflora subpeltata	MOR
Turnera callosa	MOR
Turnera diffusa	MOR
Turnera ulmifolia	MOR
Cleyera integrifolia	MOR
Ternstroemia lineata	MOR
Ternstroemia sylvatica	MOR
Erythranthe glabrata	MOR
Erythranthe rupestris	MOR
Mimulus aurantiacus	MOR
Mimulus cardinalis	MOR
Phyllanthus carolinensis	MOR
Phyllanthus compressus	MOR
Phyllanthus graveolens	MOR
Phyllanthus mocinianus	MOR
Phyllanthus niruri	MOR
Phyllonoma laticuspis	MOR
Ledenbergia macrantha	MOR
Nowickea glabra	MOR
Petiveria alliacea	MOR
Phytolacca icosandra	MOR
Phytolacca rugosa	MOR
Rivina humilis	MOR
Trichostigma octandrum	MOR
Alvaradoa amorphoides	MOR
Picramnia antidesma	MOR
Peperomia bracteata	MOR
Peperomia claytonioides	MOR
Peperomia galioides	MOR
Peperomia hispidula	MOR
Peperomia hispiduliformis	MOR
Peperomia tetraphylla	MOR
Peperomia umbilicata	MOR
Piper aduncum	MOR
Piper amalago	MOR
Piper auritum	MOR
Piper bourgeaui	MOR
Piper leucophyllum	MOR
Piper pseudolindenii	MOR
Piper psilorhachis	MOR
Piper sanctum	MOR
Piper silvivagum	MOR
Piper umbellatum	MOR
Piper verbascifolium	MOR
Bacopa monnieri	MOR
Maurandya erubescens	MOR
Maurandya scandens	MOR
Mecardonia procumbens	MOR
Penstemon barbatus	MOR
Penstemon campanulatus	MOR
Penstemon gentianoides	MOR
Penstemon imberbis	MOR
Penstemon miniatus	MOR
Penstemon roseus	MOR
Plantago alismatifolia	MOR
Plantago australis	MOR
Plantago linearis	MOR
Russelia coccinea	MOR
Russelia cuneata	MOR
Russelia equisetiformis	MOR
Russelia jaliscensis	MOR
Russelia polyedra	MOR
Russelia retrorsa	MOR
Russelia sarmentosa	MOR
Russelia tenuis	MOR
Russelia villosa	MOR
Scoparia dulcis	MOR
Schistophragma mexicanum	MOR
Schistophragma pusillum	MOR
Sibthorpia rotundifolia	MOR
Stemodia durantifolia	MOR
Stemodia palmeri	MOR
Veronica americana	MOR
Veronica peregrina	MOR
Plumbago pulchella	MOR
Acroceras zizanioides	MOR
Achnatherum constrictum	MOR
Aegopogon cenchroides	MOR
Aegopogon tenellus	MOR
Agrostis bourgeaei	MOR
Agrostis ghiesbreghtii	MOR
Agrostis hyemalis	MOR
Agrostis perennans	MOR
Agrostis schaffneri	MOR
Agrostis tolucensis	MOR
Andropogon angustatus	MOR
Andropogon fastigiatus	MOR
Andropogon gerardii	MOR
Andropogon glomeratus	MOR
Anthephora hermaphrodita	MOR
Anthoxanthum mexicanum	MOR
Aristida adscensionis	MOR
Aristida appressa	MOR
Aristida arizonica	MOR
Aristida divaricata	MOR
Aristida laxa	MOR
Aristida pansa	MOR
Aristida schiedeana	MOR
Aristida ternipes	MOR
Arundinella berteroniana	MOR
Arundinella deppeana	MOR
Arundinella hispida	MOR
Axonopus compressus	MOR
Bothriochloa barbinodis	MOR
Bothriochloa hirtifolia	MOR
Bothriochloa laguroides	MOR
Bothriochloa wrightii	MOR
Bouteloua curtipendula	MOR
Bouteloua chondrosioides	MOR
Bouteloua dactyloides	MOR
Bouteloua dimorpha	MOR
Bouteloua disticha	MOR
Bouteloua diversispicula	MOR
Bouteloua erecta	MOR
Bouteloua griffithsii	MOR
Bouteloua juncea	MOR
Bouteloua media	MOR
Bouteloua multifida	MOR
Bouteloua parryi	MOR
Bouteloua polymorpha	MOR
Bouteloua repens	MOR
Bouteloua scorpioides	MOR
Bouteloua simplex	MOR
Bouteloua triaena	MOR
Brachypodium mexicanum	MOR
Bromus anomalus	MOR
Bromus carinatus	MOR
Bromus dolichocarpus	MOR
Bromus exaltatus	MOR
Calamagrostis orizabae	MOR
Calamagrostis tolucensis	MOR
Cenchrus complanatus	MOR
Cenchrus echinatus	MOR
Cenchrus incertus	MOR
Cenchrus multiflorus	MOR
Cenchrus myosuroides	MOR
Cenchrus pilosus	MOR
Cinna poiformis	MOR
Chaetium bromoides	MOR
Chloris rufescens	MOR
Chloris submutica	MOR
Chondrosum hirsutum	MOR
Dasyochloa pulchella	MOR
Deschampsia elongata	MOR
Dichanthelium commutatum	MOR
Digitaria argillacea	MOR
Digitaria bicornis	MOR
Digitaria filiformis	MOR
Digitaria horizontalis	MOR
Digitaria insularis	MOR
Digitaria leucites	MOR
Digitaria pubiflora	MOR
Disakisperma dubium	MOR
Echinochloa crus-pavonis	MOR
Echinochloa holciformis	MOR
Elionurus ciliaris	MOR
Eragrostis glandulosa	MOR
Eragrostis intermedia	MOR
Eragrostis japonica	MOR
Eragrostis lugens	MOR
Eragrostis maypurensis	MOR
Eragrostis mexicana	MOR
Eragrostis pectinacea	MOR
Eriochloa acuminata	MOR
Eriochloa aristata	MOR
Eriochloa lemmonii	MOR
Eriochloa nelsonii	MOR
Eriochloa punctata	MOR
Festuca amplissima	MOR
Festuca breviglumis	MOR
Festuca hephaestophila	MOR
Festuca lugens	MOR
Festuca orizabensis	MOR
Festuca rosei	MOR
Festuca tolucensis	MOR
Glyceria striata	MOR
Gouinia virgata	MOR
Guadua amplexifolia	MOR
Guadua longifolia	MOR
Heteropogon contortus	MOR
Heteropogon melanocarpus	MOR
Hilaria belangeri	MOR
Hilaria cenchroides	MOR
Hilaria hintonii	MOR
Hopia obtusa	MOR
Ixophorus unisetus	MOR
Jarava ichu	MOR
Lasiacis divaricata	MOR
Lasiacis nigra	MOR
Lasiacis procerrima	MOR
Lasiacis ruscifolia	MOR
Lasiacis sorghoidea	MOR
Leersia hexandra	MOR
Leptochloa aquatica	MOR
Leptochloa fusca	MOR
Leptochloa panicea	MOR
Leptochloa panicoides	MOR
Leptochloa scabra	MOR
Microchloa kunthii	MOR
Mnesithea granularis	MOR
Muhlenbergia alamosae	MOR
Muhlenbergia capillaris	MOR
Muhlenbergia ciliata	MOR
Muhlenbergia diversiglumis	MOR
Muhlenbergia emersleyi	MOR
Muhlenbergia fragilis	MOR
Muhlenbergia implicata	MOR
Muhlenbergia macroura	MOR
Muhlenbergia microsperma	MOR
Muhlenbergia minutissima	MOR
Muhlenbergia nigra	MOR
Muhlenbergia orophila	MOR
Muhlenbergia pectinata	MOR
Muhlenbergia pereilema	MOR
Muhlenbergia peruviana	MOR
Muhlenbergia phalaroides	MOR
Muhlenbergia phleoides	MOR
Muhlenbergia quadridentata	MOR
Muhlenbergia ramulosa	MOR
Muhlenbergia repens	MOR
Muhlenbergia rigens	MOR
Muhlenbergia rigida	MOR
Muhlenbergia robusta	MOR
Muhlenbergia stricta	MOR
Muhlenbergia tenella	MOR
Muhlenbergia tenuifolia	MOR
Muhlenbergia tricholepis	MOR
Muhlenbergia vaginata	MOR
Muhlenbergia versicolor	MOR
Muhlenbergia virletti	MOR
Nassella mucronata	MOR
Olyra latifolia	MOR
Oplismenus burmannii	MOR
Oplismenus compositus	MOR
Oplismenus hirtellus	MOR
Otatea acuminata	MOR
Panicum alatum	MOR
Panicum ghiesbreghtii	MOR
Panicum hallii	MOR
Panicum hirticaule	MOR
Panicum lepidulum	MOR
Panicum parcum	MOR
Panicum pilosum	MOR
Panicum plenum	MOR
Panicum trichoides	MOR
Paspalidium geminatum	MOR
Paspalum acuminatum	MOR
Paspalum arsenei	MOR
Paspalum botterii	MOR
Paspalum candidum	MOR
Paspalum conjugatum	MOR
Paspalum conspersum	MOR
Paspalum convexum	MOR
Paspalum denticulatum	MOR
Paspalum distichum	MOR
Paspalum hartwegianum	MOR
Paspalum humboldtianum	MOR
Paspalum langei	MOR
Paspalum lentiginosum	MOR
Paspalum longicuspe	MOR
Paspalum melanospermum	MOR
Paspalum notatum	MOR
Paspalum palmeri	MOR
Paspalum paniculatum	MOR
Paspalum plenum	MOR
Paspalum plicatulum	MOR
Paspalum prostratum	MOR
Paspalum pubiflorum	MOR
Paspalum pygmaeum	MOR
Paspalum squamulatum	MOR
Paspalum tenellum	MOR
Paspalum tinctum	MOR
Paspalum unispicatum	MOR
Paspalum variabile	MOR
Paspalum virgatum	MOR
Pennisetum crinitum	MOR
Pereilema ciliatum	MOR
Peyritschia deyeuxioides	MOR
Peyritschia koelerioides	MOR
Phragmites australis	MOR
Piptochaetium fimbriatum	MOR
Piptochaetium seleri	MOR
Piptochaetium virescens	MOR
Poa seleri	MOR
Polypogon elongatus	MOR
Pseudoroegneria spicata	MOR
Schizachyrium brevifolium	MOR
Schizachyrium cirratum	MOR
Schizachyrium condensatum	MOR
Schizachyrium malacostachyum	MOR
Schizachyrium mexicanum	MOR
Schizachyrium sanguineum	MOR
Schizachyrium semitectum	MOR
Schizachyrium tenerum	MOR
Setaria grisebachii	MOR
Setaria liebmannii	MOR
Setaria macrostachya	MOR
Setaria palmifolia	MOR
Setaria parviflora	MOR
Setariopsis auriculata	MOR
Setariopsis latiglumis	MOR
Sorghastrum incompletum	MOR
Sorghastrum stipoides	MOR
Sporobolus atrovirens	MOR
Sporobolus trichodes	MOR
Tetrapogon chlorideus	MOR
Trachypogon spicatus	MOR
Triniochloa micrantha	MOR
Triniochloa stipoides	MOR
Tripsacum dactyloides	MOR
Tripsacum lanceolatum	MOR
Trisetum irazuense	MOR
Trisetum virletii	MOR
Urochloa fusca	MOR
Zea mays	MOR
Zeugites americanus	MOR
Zeugites smilacifolius	MOR
Zuloagaea bulbosa	MOR
Marathrum schiedeanum	MOR
Marathrum tenue	MOR
Noveloa coulteriana	MOR
Tristicha trifaria	MOR
Bonplandia geminiflora	MOR
Cobaea paneroi	MOR
Cobaea scandens	MOR
Loeselia caerulea	MOR
Loeselia glandulosa	MOR
Loeselia mexicana	MOR
Loeselia pumila	MOR
Polemonium mexicanum	MOR
Hebecarpa americana	MOR
Hebecarpa rivinifolia	MOR
Monnina ciliolata	MOR
Monnina xalapensis	MOR
Polygala appressipilis	MOR
Polygala berlandieri	MOR
Polygala brachysepala	MOR
Polygala brachytropis	MOR
Polygala compacta	MOR
Polygala glochidiata	MOR
Polygala gracillima	MOR
Polygala paniculata	MOR
Polygala russelliana	MOR
Polygala tenella	MOR
Polygala violacea	MOR
Securidaca diversifolia	MOR
Antigonon leptopus	MOR
Coccoloba barbadensis	MOR
Muehlenbeckia tamnifolia	MOR
Periscaria segeta	MOR
Persicaria amphibia	MOR
Persicaria glabra	MOR
Persicaria hydropiperoides	MOR
Persicaria punctata	MOR
Polygonum acuminatum	MOR
Rumex mexicanus	MOR
Ruprechtia fusca	MOR
Ruprechtia standleyana	MOR
Heteranthera limosa	MOR
Heteranthera peduncularis	MOR
Heteranthera reniformis	MOR
Heteranthera rotundifolia	MOR
Pontederia rotundifolia	MOR
Portulaca grandiflora	MOR
Portulaca mexicana	MOR
Portulaca oleracea	MOR
Portulaca pilosa	MOR
Potamogeton foliosus	MOR
Potamogeton illinoensis	MOR
Potamogeton pusillus	MOR
Stuckenia pectinata	MOR
Stuckenia striata	MOR
Zannichellia palustris	MOR
Anagallis pumila	MOR
Ardisia compressa	MOR
Ardisia revoluta	MOR
Bonellia macrocarpa	MOR
Myrsine coriacea	MOR
Myrsine juergensenii	MOR
Parathesis cubana	MOR
Samolus ebracteatus	MOR
Clematis dioica	MOR
Clematis grossa	MOR
Clematis polygama	MOR
Clematis rhodocarpa	MOR
Delphinium bicornutum	MOR
Delphinium pedatisectum	MOR
Ranunculus aquatilis	MOR
Ranunculus cymbalaria	MOR
Ranunculus dichotomus	MOR
Ranunculus donianus	MOR
Ranunculus fasciculatus	MOR
Ranunculus hydrocharoides	MOR
Ranunculus petiolaris	MOR
Ranunculus praemorsus	MOR
Ranunculus sierrae-orientalis	MOR
Thalictrum cuernavacanum	MOR
Thalictrum gibbosum	MOR
Thalictrum peltatum	MOR
Thalictrum strigillosum	MOR
Ceanothus caeruleus	MOR
Ceanothus greggii	MOR
Colubrina celtidifolia	MOR
Colubrina greggii	MOR
Colubrina macrocarpa	MOR
Colubrina triflora	MOR
Frangula hintonii	MOR
Frangula mucronata	MOR
Gouania lupuloides	MOR
Karwinskia humboldtiana	MOR
Karwinskia johnstonii	MOR
Karwinskia umbellata	MOR
Rhamnus serrata	MOR
Ziziphus acuminata	MOR
Ziziphus amole	MOR
Acaena elongata	MOR
Crataegus mexicana	MOR
Fragaria mexicana	MOR
Geum mexicanum	MOR
Holodiscus discolor	MOR
Holodiscus fissus	MOR
Lachemilla orbiculata	MOR
Lachemilla procumbens	MOR
Lachemilla sibbaldiifolia	MOR
Potentilla candicans	MOR
Potentilla haematochrous	MOR
Potentilla ranunculoides	MOR
Potentilla rubra	MOR
Potentilla staminea	MOR
Prunus brachybotrya	MOR
Prunus cortapico	MOR
Prunus ferruginea	MOR
Prunus ochoterenae	MOR
Prunus serotina	MOR
Prunus zinggii	MOR
Rubus adenotrichos	MOR
Rubus caudatisepalus	MOR
Rubus coriifolius	MOR
Rubus eriocarpus	MOR
Rubus glaucus	MOR
Rubus irasuensis	MOR
Rubus liebmannii	MOR
Rubus pringlei	MOR
Rubus pumilus	MOR
Rubus uhdeanus	MOR
Rubus urticifolius	MOR
Arachnothryx leucophylla	MOR
Borreria ocymoides	MOR
Borreria suaveolens	MOR
Borreria verticillata	MOR
Bouvardia capitata	MOR
Bouvardia cordifolia	MOR
Bouvardia chrysantha	MOR
Bouvardia laevis	MOR
Bouvardia longiflora	MOR
Bouvardia multiflora	MOR
Bouvardia obovata	MOR
Bouvardia ternifolia	MOR
Cephalanthus occidentalis	MOR
Cephalanthus salicifolius	MOR
Crusea calocephala	MOR
Crusea coccinea	MOR
Crusea coronata	MOR
Crusea diversifolia	MOR
Crusea hispida	MOR
Crusea longiflora	MOR
Crusea megalocarpa	MOR
Crusea psyllioides	MOR
Crusea setosa	MOR
Crusea wrightii	MOR
Chiococca alba	MOR
Chiococca oaxacana	MOR
Chiococca pachyphylla	MOR
Chiococca pubescens	MOR
Chiococca semipilosa	MOR
Didymaea alsinoides	MOR
Didymaea floribunda	MOR
Diodia teres	MOR
Diphragmus scaber	MOR
Exostema caribaeum	MOR
Galium aschenbornii	MOR
Galium mexicanum	MOR
Galium trifidum	MOR
Galium uncinulatum	MOR
Hamelia patens	MOR
Hamelia versicolor	MOR
Hamelia xorullensis	MOR
Hedyotis wrightii	MOR
Hintonia latiflora	MOR
Hoffmannia conzattii	MOR
Hoffmannia cuneatissima	MOR
Mitracarpus hirtus	MOR
Paederia ciliata	MOR
Psychotria erythrocarpa	MOR
Randia aculeata	MOR
Randia canescens	MOR
Randia capitata	MOR
Randia echinocarpa	MOR
Randia obcordata	MOR
Randia tetracantha	MOR
Randia thurberi	MOR
Relbunium laevigatum	MOR
Richardia scabra	MOR
Richardia tricocca	MOR
Simira mexicana	MOR
Simira rhodoclada	MOR
Spermacoce haenkeana	MOR
Spermacoce ovalifolia	MOR
Spermacoce tenuior	MOR
Ruppia maritima	MOR
Amyris balsamifera	MOR
Amyris rekoi	MOR
Casimiroa edulis	MOR
Esenbeckia vazquezii	MOR
Ptelea trifoliata	MOR
Zanthoxylum arborescens	MOR
Zanthoxylum caribaeum	MOR
Zanthoxylum fagara	MOR
Zanthoxylum limoncello	MOR
Zanthoxylum mollissimum	MOR
Meliosma dentata	MOR
Casearia arguta	MOR
Neopringlea viscosa	MOR
Prockia crucis	MOR
Salix bonplandiana	MOR
Salix cana	MOR
Salix hartwegii	MOR
Salix humboldtiana	MOR
Salix lasiolepis	MOR
Salix paradoxa	MOR
Salix taxifolia	MOR
Xylosma flexuosa	MOR
Arceuthobium globosum	MOR
Arceuthobium vaginatum	MOR
Phoradendron brachystachyum	MOR
Phoradendron carneum	MOR
Phoradendron falcatum	MOR
Phoradendron lanceolatum	MOR
Phoradendron nudum	MOR
Phoradendron perredactum	MOR
Phoradendron quadrangulare	MOR
Phoradendron reichenbachianum	MOR
Phoradendron robinsonii	MOR
Phoradendron velutinum	MOR
Phoradendron wattii	MOR
Cardiospermum halicacabum	MOR
Dodonaea viscosa	MOR
Paullinia fuscescens	MOR
Sapindus saponaria	MOR
Serjania cardiospermoides	MOR
Serjania mexicana	MOR
Serjania racemosa	MOR
Serjania schiedeana	MOR
Serjania trifoliolata	MOR
Serjania triquetra	MOR
Thouinia villosa	MOR
Thouinidium decandrum	MOR
Urvillea ulmacea	MOR
Manilkara zapota	MOR
Pouteria campechiana	MOR
Pouteria sapota	MOR
Sideroxylon americanum	MOR
Sideroxylon capiri	MOR
Sideroxylon cartilagineum	MOR
Sideroxylon eriocarpum	MOR
Sideroxylon persimile	MOR
Sideroxylon portoricense	MOR
Heuchera hemsleyana	MOR
Heuchera longipetala	MOR
Heuchera mexicana	MOR
Heuchera orizabensis	MOR
Buddleja americana	MOR
Buddleja cordata	MOR
Buddleja crotonoides	MOR
Buddleja parviflora	MOR
Buddleja perfoliata	MOR
Buddleja sessiliflora	MOR
Capraria biflora	MOR
Capraria frutescens	MOR
Limosella aquatica	MOR
Quassia amara	MOR
Simarouba amara	MOR
Smilax aristolochiifolia	MOR
Smilax cordifolia	MOR
Smilax mollis	MOR
Smilax moranensis	MOR
Smilax pringlei	MOR
Smilax spinosa	MOR
Brachistus stramoniifolius	MOR
Browallia americana	MOR
Brugmansia sanguinea	MOR
Calibrachoa parviflora	MOR
Capsicum annuum	MOR
Capsicum rhomboideum	MOR
Cestrum aurantiacum	MOR
Cestrum dasyanthum	MOR
Cestrum dumetorum	MOR
Cestrum flavescens	MOR
Cestrum laxum	MOR
Cestrum nitidum	MOR
Cestrum nocturnum	MOR
Cestrum thyrsoideum	MOR
Cestrum tomentosum	MOR
Datura ceratocaula	MOR
Datura discolor	MOR
Datura inoxia	MOR
Datura stramonium	MOR
Jaltomata procumbens	MOR
Lycianthes acapulcensis	MOR
Lycianthes arrazolensis	MOR
Lycianthes ciliolata	MOR
Lycianthes peduncularis	MOR
Lycianthes rzedowskii	MOR
Lycianthes tricolor	MOR
Nectouxia formosa	MOR
Nicotiana plumbaginifolia	MOR
Petunia axillaris	MOR
Petunia violacea	MOR
Physalis angulata	MOR
Physalis angustior	MOR
Physalis coztomatl	MOR
Physalis gracilis	MOR
Physalis lagascae	MOR
Physalis nicandroides	MOR
Physalis orizabae	MOR
Physalis parvianthera	MOR
Physalis patula	MOR
Physalis peruviana	MOR
Physalis philadelphica	MOR
Physalis pringlei	MOR
Physalis pubescens	MOR
Physalis solanacea	MOR
Physalis turbinatoides	MOR
Solandra grandiflora	MOR
Solandra guerrerensis	MOR
Solandra guttata	MOR
Solandra nitida	MOR
Solanum adscendens	MOR
Solanum aligerum	MOR
Solanum americanum	MOR
Solanum angustifolium	MOR
Solanum appendiculatum	MOR
Solanum bulbocastanum	MOR
Solanum cardiophyllum	MOR
Solanum corymbosum	MOR
Solanum demissum	MOR
Solanum diphyllum	MOR
Solanum donianum	MOR
Solanum douglasii	MOR
Solanum dulcamaroides	MOR
Solanum elaeagnifolium	MOR
Solanum erianthum	MOR
Solanum heterodoxum	MOR
Solanum hispidum	MOR
Solanum iopetalum	MOR
Solanum laurifolium	MOR
Solanum minensis	MOR
Solanum mitlense	MOR
Solanum nigrescens	MOR
Solanum nigricans	MOR
Solanum nudum	MOR
Solanum nyctaginoides	MOR
Solanum pubigerum	MOR
Solanum refractum	MOR
Solanum rostratum	MOR
Solanum torvum	MOR
Solanum umbellatum	MOR
Solanum verrucosum	MOR
Styrax ramirezii	MOR
Symplocos citrea	MOR
Talinum fruticosum	MOR
Talinum paniculatum	MOR
Daphnopsis americana	MOR
Typha domingensis	MOR
Typha latifolia	MOR
Boehmeria cylindrica	MOR
Cecropia obtusifolia	MOR
Discocnide mexicana	MOR
Myriocarpa brachystachys	MOR
Myriocarpa longipes	MOR
Parietaria macrophylla	MOR
Parietaria pensylvanica	MOR
Phenax hirtus	MOR
Pilea hyalina	MOR
Pilea microphylla	MOR
Pouzolzia occidentalis	MOR
Urera baccifera	MOR
Urera verrucosa	MOR
Urtica chamaedryoides	MOR
Urtica dioica	MOR
Urtica mexicana	MOR
Aloysia chiapensis	MOR
Aloysia citriodora	MOR
Aloysia macrostachya	MOR
Bouchea prismatica	MOR
Citharexylum hintonii	MOR
Citharexylum ovatifolium	MOR
Duranta erecta	MOR
Glandularia bipinnatifida	MOR
Glandularia elegans	MOR
Glandularia teucriifolia	MOR
Lantana achyranthifolia	MOR
Lantana camara	MOR
Lantana canescens	MOR
Lantana glandulosissima	MOR
Lantana involucrata	MOR
Lantana langlassei	MOR
Lantana trifolia	MOR
Lantana urticoides	MOR
Lippia alba	MOR
Lippia bicolor	MOR
Lippia chrysantha	MOR
Lippia graveolens	MOR
Lippia mexicana	MOR
Lippia myriocephala	MOR
Lippia oaxacana	MOR
Lippia umbellata	MOR
Petrea volubilis	MOR
Phyla dulcis	MOR
Phyla nodiflora	MOR
Phyla strigulosa	MOR
Priva aspera	MOR
Priva grandiflora	MOR
Priva lappulacea	MOR
Priva mexicana	MOR
Stachytarpheta acuminata	MOR
Stachytarpheta jamaicensis	MOR
Stachytarpheta velutina	MOR
Verbena carolina	MOR
Verbena erecta	MOR
Verbena litoralis	MOR
Verbena recta	MOR
Hybanthus attenuatus	MOR
Hybanthus oppositifolius	MOR
Hybanthus verbenaceus	MOR
Viola grahamii	MOR
Viola guatemalensis	MOR
Viola hookeriana	MOR
Viola humilis	MOR
Viola painteri	MOR
Ampelocissus acapulcensis	MOR
Ampelopsis cordata	MOR
Ampelopsis denudata	MOR
Cissus alata	MOR
Cissus biformifolia	MOR
Cissus cucurbitina	MOR
Cissus erosa	MOR
Cissus microcarpa	MOR
Cissus subtruncata	MOR
Cissus tiliacea	MOR
Cissus trifoliata	MOR
Cissus verticillata	MOR
Vitis blancoi	MOR
Vitis bourgaeana	MOR
Vitis tiliifolia	MOR
Kallstroemia maxima	MOR
Kallstroemia parviflora	MOR
Kallstroemia rosei	MOR
Anemia adiantifolia	NAY
Anemia affinis	NAY
Anemia hirsuta	NAY
Anemia intermedia	NAY
Anemia jaliscana	NAY
Anemia karwinskyana	NAY
Anemia multiplex	NAY
Anemia oblongifolia	NAY
Anemia pastinacaria	NAY
Anemia phyllitidis	NAY
Anemia recondita	NAY
Anemia tomentosa	NAY
Asplenium abscissum	NAY
Asplenium achilleifolium	NAY
Asplenium arcanum	NAY
Asplenium cuspidatum	NAY
Asplenium eatonii	NAY
Asplenium formosum	NAY
Asplenium fragrans	NAY
Asplenium hoffmannii	NAY
Asplenium monanthes	NAY
Asplenium palmeri	NAY
Asplenium potosinum	NAY
Asplenium praemorsum	NAY
Asplenium pringlei	NAY
Asplenium pumilum	NAY
Asplenium tenerrimum	NAY
Athyrium arcuatum	NAY
Athyrium filix-femina	NAY
Athyrium palmense	NAY
Athyrium skinneri	NAY
Diplazium cristatum	NAY
Diplazium lonchophyllum	NAY
Blechnum appendiculatum	NAY
Blechnum gracile	NAY
Blechnum occidentale	NAY
Blechnum polypodioides	NAY
Woodwardia spinulosa	NAY
Cyathea costaricensis	NAY
Cystopteris fragilis	NAY
Pteridium aquilinum	NAY
Pteridium caudatum	NAY
Bolbitis portoricensis	NAY
Ctenitis equestris	NAY
Ctenitis grisebachii	NAY
Dryopteris cinnamomea	NAY
Dryopteris karwinskyana	NAY
Dryopteris maxonii	NAY
Dryopteris patens	NAY
Dryopteris patula	NAY
Dryopteris rossii	NAY
Elaphoglossum glaucum	NAY
Elaphoglossum muelleri	NAY
Elaphoglossum petiolatum	NAY
Elaphoglossum piloselloides	NAY
Elaphoglossum pringlei	NAY
Elaphoglossum rzedowskii	NAY
Elaphoglossum sartorii	NAY
Polystichum rachichlaena	NAY
Equisetum giganteum	NAY
Equisetum hyemale	NAY
Equisetum myriochaetum	NAY
Isoetes mexicana	NAY
Isoetes montezumae	NAY
Lindsaea stricta	NAY
Lycopodiella cernua	NAY
Lygodium venustum	NAY
Marsilea ancylopoda	NAY
Marsilea deflexa	NAY
Marsilea mollis	NAY
Marsilea polycarpa	NAY
Nephrolepis biserrata	NAY
Nephrolepis undulata	NAY
Botrychium schaffneri	NAY
Botrychium virginianum	NAY
Ophioglossum crotalophoroides	NAY
Ophioglossum engelmannii	NAY
Ophioglossum nudicaule	NAY
Ophioglossum reticulatum	NAY
Osmunda regalis	NAY
Campyloneurum angustifolium	NAY
Campyloneurum ensifolium	NAY
Campyloneurum phyllitidis	NAY
Campyloneurum xalapense	NAY
Pecluma alfredii	NAY
Pecluma consimilis	NAY
Pecluma ferruginea	NAY
Pecluma plumula	NAY
Phlebodium areolatum	NAY
Pleopeltis angusta	NAY
Pleopeltis astrolepis	NAY
Pleopeltis cryptocarpa	NAY
Pleopeltis furfuracea	NAY
Pleopeltis madrensis	NAY
Pleopeltis mexicana	NAY
Pleopeltis rosei	NAY
Pleopeltis sanctae-rosae	NAY
Pleopeltis thyssanolepis	NAY
Polypodium colpodes	NAY
Polypodium fraternum	NAY
Polypodium hartwegianum	NAY
Polypodium plesiosorum	NAY
Polypodium polypodioides	NAY
Polypodium praetermissum	NAY
Polypodium subpetiolatum	NAY
Psilotum complanatum	NAY
Acrostichum aureum	NAY
Acrostichum danaeifolium	NAY
Adiantopsis seemannii	NAY
Adiantum amplum	NAY
Adiantum andicola	NAY
Adiantum braunii	NAY
Adiantum capillus-veneris	NAY
Adiantum concinnum	NAY
Adiantum latifolium	NAY
Adiantum lunulatum	NAY
Adiantum mcvaughii	NAY
Adiantum patens	NAY
Adiantum poiretii	NAY
Adiantum tenerum	NAY
Adiantum tetraphyllum	NAY
Adiantum trapeziforme	NAY
Adiantum tricholepis	NAY
Ananthacorus angustifolius	NAY
Anogramma leptophylla	NAY
Argyrochosma incana	NAY
Astrolepis integerrima	NAY
Astrolepis sinuata	NAY
Bommeria elegans	NAY
Bommeria pedata	NAY
Ceratopteris pteridoides	NAY
Cheilanthes brachypus	NAY
Cheilanthes farinosa	NAY
Cheilanthes lozanoi	NAY
Cheilanthes pyramidalis	NAY
Cheilanthes skinneri	NAY
