binomial	stateabr
Helianthus laciniatus	AGS
Heliopsis annua	AGS
Heterosperma pinnatum	AGS
Heterotheca inuloides	AGS
Heterotheca leptoglossa	AGS
Heterotheca subaxillaris	AGS
Hieracium abscissum	AGS
Hieracium crepidispermum	AGS
Hieracium pringlei	AGS
Hybridella globosa	AGS
Hydropectis stevensii	AGS
Iostephane heterophylla	AGS
Iostephane madrensis	AGS
Isocoma gypsophila	AGS
Isocoma hartwegii	AGS
Isocoma veneta	AGS
Jaegeria glabra	AGS
Jaegeria hirta	AGS
Jefea brevifolia	AGS
Koanophyllon palmeri	AGS
Koanophyllon solidaginifolium	AGS
Laennecia confusa	AGS
Laennecia filaginoides	AGS
Laennecia gnaphalioides	AGS
Laennecia microglossa	AGS
Laennecia sophiifolia	AGS
Lagascea helianthifolia	AGS
Lasianthaea aurea	AGS
Lasianthaea ceanothifolia	AGS
Lasianthaea crocea	AGS
Lasianthaea palmeri	AGS
Leibnitzia lyrata	AGS
Leucactinia bracteata	AGS
Liabellum palmeri	AGS
Machaeranthera tanacetifolia	AGS
Melampodium microcephalum	AGS
Melampodium perfoliatum	AGS
Melampodium sericeum	AGS
Melampodium strigosum	AGS
Milleria quinqueflora	AGS
Montanoa leucantha	AGS
Packera bellidifolia	AGS
Packera toluccana	AGS
Parthenium argentatum	AGS
Parthenium bipinnatifidum	AGS
Parthenium hysterophorus	AGS
Parthenium incanum	AGS
Pectis angustifolia	AGS
Pectis prostrata	AGS
Pectis uniaristata	AGS
Perityle microglossa	AGS
Perityle rosei	AGS
Perymenium buphthalmoides	AGS
Perymenium mendezii	AGS
Perymenium subsquarrosum	AGS
Pinaropappus roseus	AGS
Pippenalia delphinifolia	AGS
Piqueria laxiflora	AGS
Piqueria triflora	AGS
Piqueria trinervia	AGS
Pittocaulon filare	AGS
Pittocaulon praecox	AGS
Pluchea salicifolia	AGS
Porophyllum coloratum	AGS
Porophyllum linaria	AGS
Porophyllum macrocephalum	AGS
Porophyllum viridiflorum	AGS
Psacalium amplum	AGS
Psacalium megaphyllum	AGS
Psacalium palmeri	AGS
Psacalium peltatum	AGS
Psacalium platylepis	AGS
Psacalium poculiferum	AGS
Psacalium pringlei	AGS
Psacalium radulifolium	AGS
Psacalium sinuatum	AGS
Psacalium tussilaginoides	AGS
Pseudognaphalium attenuatum	AGS
Pseudognaphalium brachypterum	AGS
Pseudognaphalium canescens	AGS
Pseudognaphalium conoideum	AGS
Pseudognaphalium chartaceum	AGS
Pseudognaphalium inornatum	AGS
Pseudognaphalium jaliscense	AGS
Pseudognaphalium oxyphyllum	AGS
Pseudognaphalium purpurascens	AGS
Pseudognaphalium roseum	AGS
Pseudognaphalium semiamplexicaule	AGS
Pseudognaphalium semilanatum	AGS
Pseudognaphalium stramineum	AGS
Pseudognaphalium viscosum	AGS
Psilactis asteroides	AGS
Psilactis brevilingulata	AGS
Pyrrhopappus pauciflorus	AGS
Roldana albonervia	AGS
Roldana chapalensis	AGS
Roldana hartwegii	AGS
Roldana heracleifolia	AGS
Roldana lineolata	AGS
Roldana pennellii	AGS
Roldana sessilifolia	AGS
Sanvitalia angustifolia	AGS
Sanvitalia ocymoides	AGS
Sanvitalia procumbens	AGS
Schkuhria pinnata	AGS
Schkuhria schkuhrioides	AGS
Senecio deformis	AGS
Senecio flaccidus	AGS
Senecio stoechadiformis	AGS
Sigesbeckia jorullensis	AGS
Simsia amplexicaulis	AGS
Simsia foetida	AGS
Simsia lagasciformis	AGS
Solidago macvaughii	AGS
Solidago petiolaris	AGS
Solidago velutina	AGS
Stevia caracasana	AGS
Stevia deltoidea	AGS
Stevia dictyophylla	AGS
Stevia jorullensis	AGS
Stevia lucida	AGS
Stevia micrantha	AGS
Stevia origanoides	AGS
Stevia ovata	AGS
Stevia pilosa	AGS
Stevia porphyrea	AGS
Stevia purpusii	AGS
Stevia rosei	AGS
Stevia salicifolia	AGS
Stevia serrata	AGS
Stevia stolonifera	AGS
Stevia suaveolens	AGS
Stevia subpubescens	AGS
Stevia tephra	AGS
Stevia tomentosa	AGS
Stevia trifida	AGS
Stevia viscida	AGS
Symphyotrichum expansum	AGS
Symphyotrichum moranense	AGS
Symphyotrichum potosinum	AGS
Tagetes erecta	AGS
Tagetes jaliscensis	AGS
Tagetes lucida	AGS
Tagetes lunulata	AGS
Tagetes micrantha	AGS
Tagetes pringlei	AGS
Tagetes subulata	AGS
Tagetes tenuifolia	AGS
Thelesperma longipes	AGS
Thelesperma megapotamicum	AGS
Thymophylla acerosa	AGS
Thymophylla aurea	AGS
Thymophylla pentachaeta	AGS
Thymophylla setifolia	AGS
Thymophylla tenuifolia	AGS
Tithonia tubiformis	AGS
Townsendia mexicana	AGS
Tridax balbisioides	AGS
Tridax coronopifolia	AGS
Tridax mexicana	AGS
Tridax palmeri	AGS
Tridax petrophila	AGS
Trigonospermum annuum	AGS
Trixis angustifolia	AGS
Trixis californica	AGS
Trixis haenkei	AGS
Trixis hyposericea	AGS
Trixis michuacana	AGS
Verbesina angustifolia	AGS
Verbesina encelioides	AGS
Verbesina fastigiata	AGS
Verbesina hypomalaca	AGS
Verbesina longipes	AGS
